block priv_speed priv_thru spree_speed spree_speed_malloc speed_thru speed_thru_malloc
8..32 18.11 972.27 15.64 28.66 839.85 1538.78
8..64 22.31 665.37 26.35 48.31 785.91 1440.87
8..256 74.49 605.90 65.87 122.63 535.79 997.54
8..3072 102.51 71.47 111.33 123.08 77.63 85.82
