allocator alloc_sz nallocs ffree thru
halloc 16 4 0.2 982.04
scatter 16 4 0.2 271.01
halloc 16 4 0.21 983.60
scatter 16 4 0.21 269.33
halloc 16 4 0.22 982.17
scatter 16 4 0.22 268.03
halloc 16 4 0.23 978.75
scatter 16 4 0.23 266.21
halloc 16 4 0.24 980.30
scatter 16 4 0.24 263.26
halloc 16 4 0.25 977.35
scatter 16 4 0.25 270.15
halloc 16 4 0.26 980.39
scatter 16 4 0.26 271.01
halloc 16 4 0.27 977.82
scatter 16 4 0.27 266.86
halloc 16 4 0.28 973.04
scatter 16 4 0.28 256.02
halloc 16 4 0.29 972.50
scatter 16 4 0.29 11.33
halloc 16 4 0.3 979.25
scatter 16 4 0.3 7.64
halloc 16 4 0.31 970.01
scatter 16 4 0.31 7.29
halloc 16 4 0.32 971.70
scatter 16 4 0.32 6.63
halloc 16 4 0.33 970.19
scatter 16 4 0.33 6.53
halloc 16 4 0.34 972.48
scatter 16 4 0.34 5.96
halloc 64 1 0.2 806.59
scatter 64 1 0.2 190.25
halloc 64 1 0.21 807.06
scatter 64 1 0.21 189.42
halloc 64 1 0.22 808.17
scatter 64 1 0.22 187.81
halloc 64 1 0.23 797.65
scatter 64 1 0.23 63.09
halloc 64 1 0.24 805.14
scatter 64 1 0.24 19.88
halloc 64 1 0.25 805.23
scatter 64 1 0.25 9.88
halloc 64 1 0.26 804.99
scatter 64 1 0.26 9.58
halloc 64 1 0.27 801.62
scatter 64 1 0.27 8.52
halloc 64 1 0.28 800.72
scatter 64 1 0.28 7.69
halloc 64 1 0.29 799.41
scatter 64 1 0.29 5.91
halloc 64 1 0.3 802.26
scatter 64 1 0.3 5.88
halloc 64 1 0.31 799.17
scatter 64 1 0.31 4.85
halloc 64 1 0.32 799.17
scatter 64 1 0.32 4.65
halloc 64 1 0.33 802.99
scatter 64 1 0.33 3.95
halloc 64 1 0.34 802.42
scatter 64 1 0.34 3.67
